0;4;586
1;5;169
2;3;510
2;4;432
3;2;510
4;0;586
4;2;432
4;6;238
5;1;169
5;7;110
5;9;111
6;4;238
6;7;281
6;8;146
7;5;110
7;6;281
7;11;245
8;6;146
9;5;111
9;10;176
10;9;176
10;14;382
11;7;245
11;12;109
12;11;109
12;15;160
12;16;164
13;16;143
14;10;382
15;12;160
15;17;119
16;12;164
16;13;143
16;20;163
17;15;119
18;22;122
19;21;128
19;22;171
20;16;163
20;23;139
21;19;128
22;18;122
22;19;171
22;23;179
23;20;139
23;22;179
23;24;223
23;26;325
24;23;223
24;25;277
25;24;277
26;23;325
26;27;333
26;29;450
27;26;333
28;29;286
28;30;187
28;32;474
29;26;450
29;28;286
30;28;187
31;32;171
32;28;474
32;31;171
32;33;490
33;32;490
33;34;470
34;33;470
34;38;236
35;39;292
36;39;256
37;39;231
38;34;236
38;40;238
39;35;292
39;36;256
39;37;231
39;41;225
40;38;238
40;41;122
40;43;235
41;39;225
41;40;122
41;44;203
42;43;117
43;40;235
43;42;117
43;45;130
43;46;118
44;41;203
45;43;130
46;43;118
46;50;252
47;50;174
48;51;142
48;52;267
49;50;271
50;46;252
50;47;174
50;49;271
50;51;258
50;53;241
51;48;142
51;50;258
51;55;182
52;48;267
53;50;241
53;54;235
53;57;261
54;53;235
54;56;338
55;51;182
56;54;338
56;58;224
57;53;261
57;59;205
57;60;173
58;56;224
58;62;296
59;57;205
59;63;126
60;57;173
60;64;219
61;62;225
62;58;296
62;61;225
63;59;126
63;67;287
64;60;219
65;67;290
66;68;326
67;63;287
67;65;290
67;68;301
68;66;326
68;67;301
68;72;208
69;70;241
69;73;211
70;69;241
70;71;139
71;70;139
71;75;238
72;68;208
72;76;163
73;69;211
73;77;122
74;75;243
75;71;238
75;74;243
75;78;183
76;72;163
76;78;122
77;73;122
78;75;183
78;76;122
78;82;155
79;80;142
79;81;159
80;79;142
80;83;121
81;79;159
81;82;282
81;84;142
82;78;155
82;81;282
83;80;121
84;81;142
84;85;310
84;86;186
85;84;310
86;84;186
86;87;179
86;90;169
87;86;179
87;89;283
88;90;142
88;91;320
88;92;391
89;87;283
90;86;169
90;88;142
91;88;320
92;88;391
92;96;146
93;94;347
94;93;347
94;98;345
95;96;108
95;97;538
96;92;146
96;95;108
96;98;132
96;99;292
97;95;538
98;94;345
98;96;132
98;100;181
98;101;467
98;102;378
99;96;292
100;98;181
101;98;467
102;98;378
102;103;382
102;105;341
103;102;382
104;106;371
105;102;341
105;106;215
106;104;371
106;105;215
106;107;328
106;109;219
106;110;188
107;106;328
107;108;332
107;111;199
108;107;332
109;106;219
110;106;188
111;107;199
111;114;141
112;113;133
112;114;188
112;115;443
112;116;147
113;112;133
114;111;141
114;112;188
115;112;443
116;112;147
116;117;291
116;120;144
117;116;291
118;119;118
118;120;196
119;118;118
120;116;144
120;118;196
120;121;296
120;122;364
121;120;296
122;120;364
122;123;158
122;126;340
123;122;158
124;126;171
124;128;188
125;129;444
126;122;340
126;124;171
127;128;116
127;129;108
128;124;188
128;127;116
129;125;444
129;127;108
129;130;124
130;129;124
