0;3;373
1;3;225
1;4;270
2;6;365
3;0;373
3;1;225
3;7;358
4;1;270
4;5;346
5;4;346
5;8;114
6;2;365
6;7;192
7;3;358
7;6;192
8;5;114
8;9;399
8;12;218
9;8;399
9;10;401
9;11;435
10;9;401
11;9;435
11;14;185
12;8;218
13;14;198
13;17;164
14;11;185
14;13;198
14;18;120
15;17;350
16;20;429
17;13;164
17;15;350
18;14;120
18;20;181
19;21;245
19;22;135
20;16;429
20;18;181
20;23;226
21;19;245
21;24;262
22;19;135
22;25;256
22;26;129
23;20;226
23;27;230
24;21;262
25;22;256
26;22;129
26;27;162
27;23;230
27;26;162
27;28;242
27;29;324
28;27;242
29;27;324
29;33;367
30;32;175
31;35;239
32;30;175
32;35;239
33;29;367
33;34;187
33;35;163
34;33;187
35;31;239
35;32;239
35;33;163
35;36;291
35;39;532
36;35;291
36;37;329
36;38;106
37;36;329
37;40;154
38;36;106
38;41;439
39;35;532
40;37;154
40;42;129
41;38;439
42;40;129
42;44;166
42;45;130
43;47;161
44;42;166
45;42;130
45;47;144
45;49;102
46;50;159
47;43;161
47;45;144
48;49;163
48;52;137
49;45;102
49;48;163
50;46;159
50;53;117
51;54;112
52;48;137
52;55;180
53;50;117
53;54;203
53;55;168
54;51;112
54;53;203
54;58;298
55;52;180
55;53;168
55;56;108
56;55;108
57;58;230
58;54;298
58;57;230
58;62;315
59;61;163
60;63;302
61;59;163
61;64;138
62;58;315
62;64;214
62;66;126
63;60;302
63;65;278
64;61;138
64;62;214
65;63;278
65;69;222
66;62;126
66;68;169
67;71;598
68;66;169
68;69;123
68;71;223
69;65;222
69;68;123
69;70;232
69;73;188
70;69;232
71;67;598
71;68;223
72;73;165
73;69;188
73;72;165
73;77;278
74;75;228
75;74;228
75;78;337
76;77;409
76;80;378
77;73;278
77;76;409
78;75;337
78;80;370
78;82;119
79;83;211
80;76;378
80;78;370
81;85;170
82;78;119
82;84;173
83;79;211
83;85;154
83;87;171
84;82;173
84;85;113
85;81;170
85;83;154
85;84;113
85;86;114
86;85;114
87;83;171
87;89;203
88;89;224
89;87;203
89;88;224
89;90;309
89;91;113
90;89;309
90;92;282
91;89;113
91;94;233
92;90;282
92;96;100
93;96;371
94;91;233
95;98;296
96;92;100
96;93;371
96;99;111
96;100;220
97;99;156
98;95;296
98;101;186
98;102;178
99;96;111
99;97;156
99;103;151
100;96;220
100;101;214
100;104;147
101;98;186
101;100;214
102;98;178
102;105;314
103;99;151
104;100;147
105;102;314
105;106;201
105;109;293
106;105;201
106;107;164
106;108;223
107;106;164
107;110;246
108;106;223
108;112;154
109;105;293
110;107;246
111;112;361
112;108;154
112;111;361
112;114;175
113;114;189
114;112;175
114;113;189
114;115;108
115;114;108
115;116;113
116;115;113
116;117;183
117;116;183
117;119;138
118;119;223
119;117;138
119;118;223
119;123;503
120;121;204
120;123;211
121;120;204
122;123;285
122;126;172
123;119;503
123;120;211
123;122;285
123;125;159
123;127;112
124;125;208
125;123;159
125;124;208
126;122;172
126;129;256
126;130;286
127;123;112
127;128;100
128;127;100
129;126;256
130;126;286
130;133;200
131;134;251
132;133;163
133;130;200
133;132;163
133;134;154
133;136;176
133;137;102
134;131;251
134;133;154
134;138;120
135;138;202
136;133;176
137;133;102
138;134;120
138;135;202
138;139;168
139;138;168
139;140;318
139;141;316
140;139;318
140;143;117
141;139;316
141;145;345
142;146;275
143;140;117
144;146;495
145;141;345
145;146;325
145;148;343
146;142;275
146;144;495
146;145;325
146;147;339
146;149;416
147;146;339
148;145;343
149;146;416
Total cost: 34043
